Run,KL Divergence,K-Means Iso Acc,K-Means Iso ARI,K-Means Full Acc,K-Means Full ARI,EM Acc,EM ARI
1,0.7836294793003626,0.709,0.17390112613675543,0.71,0.17558174135885884,0.721,0.19457312079106978
2,6.568960783860865,0.654,0.09395989713603466,0.654,0.09395989713603466,0.662,0.10409210929221062
3,39.101844974607104,0.649,0.0878918004983763,0.653,0.09273047053902596,0.656,0.0964442284900997
4,14.708453203997529,0.686,0.13752133485297943,0.686,0.13752177732642945,0.998,0.992008
5,3.643635915333938,0.686,0.1375208785517586,0.682,0.1316281496943492,0.763,0.2759515775946257
6,35.93091842632792,0.622,0.05860095610640873,0.618,0.05475927495716476,0.586,0.028639109909581073
7,47.622550431371266,0.553,0.010245734510084667,0.558,0.012468492216697364,0.537,0.00448331740092977
8,47.89926456930943,0.575,0.021523839272349386,0.575,0.021523839272349386,0.573,0.02034402829675949
9,29.496099094946693,0.657,0.09769583101325097,0.657,0.09769626498552846,0.737,0.22390487374704787
10,43.24331374444369,0.587,0.02930676426161257,0.587,0.02930676426161257,0.554,0.010679409134000844
